company,aspect,sentiment_mean,rating_1_to_5
Accenture,career_growth,0.25137849384187977,3.5
Accenture,compensation_benefits,-0.21634007346583353,2.57
Accenture,culture_values,-0.040930144126400406,2.92
Accenture,management,-0.23174335139518143,2.54
Accenture,work_life_balance,-0.12237137735246813,2.76
Amazon,career_growth,-0.12335349795469543,2.75
Amazon,compensation_benefits,-0.20442251737328196,2.59
Amazon,culture_values,-0.12651389355338127,2.75
Amazon,management,-0.17280078336744217,2.65
Amazon,work_life_balance,-0.20908581040843366,2.58
Deloitte,career_growth,-0.10944636869617057,2.78
Deloitte,compensation_benefits,-0.05847982479182051,2.88
Deloitte,culture_values,0.048397549052177906,3.1
Deloitte,management,-0.20430124864728536,2.59
Deloitte,work_life_balance,-0.2690038005197721,2.46
Google,career_growth,-0.09696395476485013,2.81
Google,compensation_benefits,-0.16688899249837894,2.67
Google,culture_values,-0.16480704998189755,2.67
Google,management,-0.22379957224864772,2.55
Google,work_life_balance,-0.1635312357431769,2.67
Infosys,career_growth,-0.14045627198434343,2.72
Infosys,compensation_benefits,-0.2060316110845085,2.59
Infosys,culture_values,-0.2075810083990172,2.58
Infosys,management,0.015427840904158044,3.03
Infosys,work_life_balance,-0.20725695410621214,2.59
Meta,career_growth,-0.2195066597153576,2.56
Meta,compensation_benefits,-0.08582729204226129,2.83
Meta,culture_values,-0.10829459458872731,2.78
Meta,management,-0.221560016684011,2.56
Meta,work_life_balance,-0.178492142761358,2.64
Microsoft,career_growth,-0.07801749999815454,2.84
Microsoft,compensation_benefits,-0.13584953458260624,2.73
Microsoft,culture_values,-0.14340026431419162,2.71
Microsoft,management,-0.1309721024171358,2.74
Microsoft,work_life_balance,-0.14683194231795094,2.71
Netflix,career_growth,-0.059988172171926236,2.88
Netflix,compensation_benefits,-0.23438463450514394,2.53
Netflix,culture_values,-0.20160575944280457,2.6
Netflix,management,-0.20709372658588737,2.59
Netflix,work_life_balance,-0.20088774740678947,2.6
TCS,career_growth,-0.1204086089492989,2.76
TCS,compensation_benefits,-0.16000978889334924,2.68
TCS,culture_values,-0.22668065359191308,2.55
TCS,management,-0.372093917944662,2.26
TCS,work_life_balance,-0.23728810237104497,2.53
Wipro,career_growth,0.023538275357142865,3.05
Wipro,compensation_benefits,-0.02569530416145834,2.95
Wipro,culture_values,-0.14247601861904763,2.72
Wipro,management,0.17350618791666667,3.35
Wipro,work_life_balance,-0.18163624481944446,2.64
